frame,trace_ms,gather_ms,net_wall_ms,net_gpu_ms,net_commit_ms,net_wait_ms,demod_ms,present_ms,total_ms
67,0.1844,20.8032,0.0367,8.6155,0.0095,0.0016,0.2998,0.0969,21.4210
68,0.2184,16.3804,9.7489,10.2928,0.0085,9.7027,0.4154,0.1176,26.8806
69,0.2530,15.7278,0.0312,7.3285,0.0072,0.0016,0.2507,0.0565,16.3192
70,0.2559,16.6999,6.1766,9.5169,0.0118,6.1298,0.3695,0.1138,23.6158
71,0.2408,14.3724,0.0594,8.3254,0.0277,0.0018,0.2459,0.0953,15.0137
72,0.2960,16.3920,11.2949,16.0999,0.0096,11.2531,0.3199,0.0790,28.3818
73,0.2267,16.3431,0.0353,7.9107,0.0108,0.0008,0.2515,0.1573,17.0138
74,0.2243,16.7196,6.2725,9.8458,0.0066,6.2433,0.4790,0.1124,23.8078
75,0.2376,20.2265,0.0416,8.5193,0.0089,0.0018,0.3074,0.0849,20.8980
76,0.2532,16.5337,8.1337,5.9833,0.0094,8.0896,0.4839,0.1493,25.5538
77,0.2487,16.8207,0.0451,8.0804,0.0123,0.0021,0.3202,0.1060,17.5406
78,0.2367,22.6555,0.0755,6.2133,0.0199,0.0031,0.6302,0.1646,23.7625
79,0.3405,17.4894,0.0430,4.7999,0.0101,0.0020,0.3259,0.1027,18.3015
80,0.2955,17.1354,6.1033,9.4418,0.0242,5.9781,0.2803,0.1293,23.9437
81,0.2276,21.7494,0.2110,8.1509,0.0209,0.0064,0.5483,0.1692,22.9055
82,0.3086,18.4456,0.1062,4.8774,0.0251,0.0073,0.6693,0.1797,19.7094
83,0.2455,21.5592,0.0910,4.8927,0.0219,0.0029,0.6435,0.2727,22.8118
84,0.3871,16.5590,0.0356,4.7837,0.0093,0.0016,0.2723,0.0907,17.3447
85,0.2450,19.6944,0.0328,4.7458,0.0065,0.0018,0.3400,0.1120,20.4243
86,0.2113,19.8765,4.4828,5.1085,0.0130,4.4300,0.4458,0.1150,25.1315
87,0.2395,20.8813,0.0434,6.2636,0.0090,0.0023,0.3806,0.1062,21.6510
88,0.2780,16.9350,8.2401,5.4596,0.0363,8.1556,0.3216,0.0795,25.8542
89,0.1787,17.3334,0.0318,6.5823,0.0079,0.0016,0.2870,0.0813,17.9121
90,0.2806,16.6653,6.2071,7.2665,0.0242,6.1107,0.4578,0.1353,23.7461
91,0.2675,19.7810,0.0811,8.3867,0.0203,0.0029,0.4904,0.1686,20.7886
92,0.1971,20.6220,0.1250,4.7961,0.0280,0.0026,0.8980,0.3455,22.1877
93,0.1530,19.1630,0.0951,4.7589,0.0268,0.0027,1.0819,0.4814,20.9744
94,0.2895,16.7990,4.3571,5.4447,0.0121,4.3182,0.3162,0.0948,21.8566
95,0.2770,19.2790,0.0392,7.3451,0.0135,0.0016,0.2880,0.0812,19.9643
96,0.2478,23.1255,0.0960,5.2605,0.0315,0.0021,0.5372,0.1686,24.1751
97,0.5923,21.9237,0.0864,4.7932,0.0225,0.0023,0.5455,0.1765,23.3244
98,0.2444,16.6455,3.3778,5.5053,0.0113,3.3212,0.3422,0.0864,20.6963
99,0.2715,17.4062,0.0448,6.7130,0.0101,0.0018,0.3107,0.0986,18.1319
100,0.1815,17.2749,9.5467,10.8716,0.0091,9.5034,0.3582,0.1030,27.4642
101,0.2413,19.2978,0.0454,7.9440,0.0083,0.0018,0.2779,0.0730,19.9354
102,0.2148,17.6519,9.3117,8.4536,0.0077,9.2630,0.4700,0.1161,27.7645
103,0.3032,18.1656,0.0387,7.3612,0.0079,0.0021,0.2959,0.1231,18.9265
104,0.2619,17.9387,4.8969,5.2046,0.0344,4.7834,0.4294,0.1156,23.6425
105,0.2661,20.7080,0.2151,7.1417,0.0183,0.0030,0.5894,0.1883,21.9670
106,0.3152,22.0088,0.0883,4.7589,0.0263,0.0025,0.6455,0.1739,23.2318
107,0.2294,16.0098,0.0429,4.7758,0.0108,0.0021,0.3249,0.0987,16.7056
108,0.3319,19.2010,0.1117,4.7950,0.0284,0.0026,0.6120,0.1847,20.4413
109,0.2449,27.3235,0.1096,4.8541,0.0202,0.0052,5.4705,0.1941,33.3427
110,0.3616,18.1026,15.4591,13.4816,0.0113,15.4095,0.3360,0.0853,34.3447
111,0.2125,18.6000,0.0407,10.7382,0.0101,0.0015,0.2863,0.0973,19.2367
112,0.2810,18.2546,2.7348,5.2156,0.0083,2.7026,0.3058,0.0880,21.6642
113,0.2047,21.3042,12.8006,12.9925,0.0100,12.7641,0.2782,0.0937,34.6815
114,0.2101,18.0302,0.0406,6.7812,0.0080,0.0027,0.2870,0.0822,18.6501
115,0.1683,27.0061,0.0372,4.9611,0.0085,0.0015,0.2809,0.0842,27.5766
116,0.2180,18.6979,8.0465,14.2548,0.0065,8.0132,0.3739,0.0872,27.4234
117,0.1875,23.0626,0.0491,9.1479,0.0140,0.0020,0.3422,0.1083,23.7498
118,0.2223,18.7542,7.4532,11.4020,0.0114,7.4138,0.4348,0.1415,27.0060
119,0.2344,20.9140,0.0721,8.4625,0.0180,0.0023,0.8272,0.1629,22.2105
120,0.2420,18.5700,6.4966,4.8591,0.0227,6.3691,0.7160,0.4486,26.4731
121,0.1947,21.1688,0.1066,6.8945,0.0291,0.0060,0.5673,0.1684,22.2058
122,0.2630,18.8485,3.1818,4.7394,0.0147,3.1279,0.3385,0.0915,22.7232
123,0.2256,25.2953,0.0870,6.6709,0.0239,0.0024,0.8646,0.1746,26.6471
124,0.4461,24.1761,0.0395,4.9130,0.0087,0.0021,0.3030,0.1164,25.0811
125,0.2063,25.4488,0.0418,4.9886,0.0097,0.0020,0.2976,0.0835,26.0780
126,0.2160,18.4481,10.1306,13.5735,0.0098,10.0623,0.3217,0.0811,29.1975
127,0.1665,20.9874,0.0367,8.1062,0.0091,0.0023,0.3475,0.0951,21.6331
128,0.3165,18.3570,6.4055,9.1423,0.0129,6.3451,0.2751,0.0701,25.4243
129,0.3037,22.3535,0.0408,8.0107,0.0103,0.0017,0.3021,0.1016,23.1017
130,0.2287,18.4741,8.6813,12.6999,0.0250,8.5819,0.4050,0.1040,27.8931
131,0.2927,18.3514,0.0330,7.8246,0.0067,0.0018,0.2435,0.0757,18.9963
132,0.2630,18.3133,6.6634,11.1086,0.0205,6.5764,0.3545,0.0974,25.6916
133,0.2489,22.5236,0.1017,8.5683,0.0268,0.0029,0.9206,0.2211,24.0159
134,0.3516,18.4787,3.3196,5.1448,0.0274,3.2210,0.7321,0.1816,23.0637
135,0.2448,21.6238,0.4276,6.3012,0.1228,0.0038,0.6748,0.1830,23.1539
136,0.4931,24.2510,0.0822,7.2176,0.0246,0.0021,0.5959,0.1578,25.5801
137,0.3633,22.1336,0.0490,4.7828,0.0120,0.0025,0.3867,0.1278,23.0604
138,0.2391,17.8761,3.8578,5.2066,0.0119,3.8044,0.3056,0.0791,22.3577
139,0.2685,17.5738,0.0395,7.0050,0.0092,0.0019,0.3032,0.0850,18.2700
140,0.2687,17.9680,7.6059,13.5316,0.0066,7.5702,0.2757,0.0794,26.1977
141,0.1579,23.0386,1.3481,9.2026,0.0103,1.3037,0.3069,0.1037,24.9553
142,0.3193,20.8085,5.1145,5.5793,0.0212,5.0200,0.3575,0.1011,26.7009
143,0.3022,22.8429,0.1418,6.5214,0.0843,0.0027,0.9259,0.2269,24.4397
144,0.5008,21.4769,0.1118,4.8766,0.0194,0.0055,0.6173,0.2785,22.9853
145,0.4082,22.3741,0.0934,4.8821,0.0281,0.0026,0.7887,0.3037,23.9681
146,0.3486,23.4703,0.0869,4.7845,0.0219,0.0028,0.5447,0.1640,24.6146
147,0.3746,20.1149,0.0488,4.7764,0.0154,0.0020,0.3684,0.1005,21.0073
148,0.3109,18.5111,12.5071,9.2526,0.0283,12.3985,1.0004,0.2303,32.5598
149,0.4528,16.4685,0.1014,7.5434,0.0283,0.0032,0.6399,0.1638,17.8263
150,0.2519,23.7119,0.0873,5.0549,0.0202,0.0025,0.6614,0.3952,25.1078
151,0.3928,22.4080,0.0427,4.7533,0.0112,0.0018,0.2945,0.0923,23.2303
152,0.2662,18.2553,6.3450,10.1404,0.0124,6.3033,0.3718,0.0895,25.3276
153,0.2166,20.2697,0.0391,8.4576,0.0098,0.0018,0.2905,0.1372,20.9531
154,0.2433,15.1285,8.0638,11.8241,0.0113,8.0275,0.5653,0.1679,24.1688
155,0.2175,18.9845,0.0545,9.4115,0.0162,0.0023,0.4329,0.0894,19.7788
156,0.2988,15.1597,6.7208,9.7429,0.0152,6.6574,0.6932,0.4507,23.3233
157,0.3296,16.7915,0.0836,8.4689,0.0187,0.0024,0.6584,0.1793,18.0423
158,0.2605,14.5570,7.9646,4.8030,0.0089,7.9173,3.0341,0.0800,25.8962
159,0.2318,12.8189,0.0334,6.9706,0.0107,0.0016,0.2788,0.0685,13.4314
160,0.2288,14.4088,8.5229,12.8549,0.0257,8.4331,0.2992,0.0824,23.5420
161,0.3565,16.3441,0.0355,9.2399,0.0086,0.0014,0.2655,0.0810,17.0826
162,0.2982,14.1081,8.6523,8.2948,0.0251,8.5648,0.2724,0.0758,23.4067
163,0.2979,16.2199,0.0539,7.9587,0.0137,0.0028,0.4144,0.1208,17.1069
164,0.2315,18.5317,2.9005,6.4220,0.0513,2.6775,0.6545,0.1685,22.4867
165,0.5407,16.7157,0.1723,5.5721,0.0219,0.0917,0.6019,0.1730,18.2038
166,0.3392,18.3329,0.0859,4.8094,0.0221,0.0025,18.9246,2.6662,40.3490
167,0.2254,20.5948,0.0304,5.0928,0.0088,0.0019,0.4690,0.0745,21.3941
168,0.1881,22.1279,0.0833,14.8331,0.0203,0.0027,0.4851,0.1628,23.0472
169,0.1628,20.6571,0.0410,5.3553,0.0117,0.0018,0.2640,0.4150,21.5397
