frame,trace_ms,gather_ms,net_wall_ms,net_gpu_ms,net_commit_ms,net_wait_ms,demod_ms,present_ms,total_ms
67,24.1160,1.7922,0.0312,5.1393,0.0072,0.0017,0.2013,0.1129,26.2536
68,15.4429,2.2263,9.7326,16.3153,0.0055,9.7012,0.3733,0.1100,27.8851
69,17.7886,1.9750,0.0273,8.7354,0.0067,0.0016,0.2002,0.0927,20.0838
70,19.4030,2.0536,4.1792,5.6008,0.0057,4.1538,0.2456,0.0957,25.9771
71,23.5279,4.5213,0.0896,11.3382,0.0066,0.0631,0.2253,0.0755,28.4396
72,16.1270,1.9252,9.5556,12.5894,0.0072,9.5272,0.2967,0.0973,28.0018
73,17.8933,1.7601,0.0247,8.1379,0.0062,0.0017,0.1719,0.0950,19.9450
74,24.5540,1.7960,0.0210,5.5261,0.0052,0.0014,0.1321,0.0848,26.5880
75,22.0735,1.8788,0.0245,4.9347,0.0061,0.0015,0.1800,0.0862,24.2430
76,22.4635,2.3226,0.0263,10.8639,0.0063,0.0014,0.1633,0.0696,25.0453
77,25.8374,2.7079,0.0203,5.2711,0.0055,0.0011,0.1460,0.0895,28.8010
78,16.2538,2.0333,7.8525,16.2864,0.0068,7.8176,0.1958,0.0950,26.4305
79,21.6379,1.7939,0.0220,9.7578,0.0048,0.0015,0.1649,0.0808,23.6994
80,25.2602,1.7545,0.0240,5.5318,0.0092,0.0016,0.1445,0.0788,27.2620
81,23.2003,5.8781,0.0399,5.2615,0.0079,0.0095,0.2237,0.0734,29.4154
82,16.3214,1.9041,10.9300,16.1483,0.0064,10.9040,0.2745,0.0750,29.5050
83,17.7388,1.7215,0.0219,6.5767,0.0075,0.0014,0.1282,0.0794,19.6898
84,25.3447,1.7804,0.0215,11.7583,0.0047,0.0016,0.1443,0.0769,27.3677
85,18.9930,8.0307,3.9763,6.6463,0.0062,3.9414,0.2206,0.0790,31.2997
86,16.1899,1.8930,6.6330,6.5771,0.0059,6.6107,0.2410,0.0669,25.0237
87,19.8961,1.7702,0.0216,7.0242,0.0055,0.0013,0.1667,0.0638,21.9184
88,24.3013,1.7499,0.0233,5.4348,0.0049,0.0013,0.1467,0.0881,26.3093
89,24.0140,1.8694,0.0269,4.8747,0.0078,0.0014,0.2157,0.0656,26.1915
90,24.7110,1.7954,0.0304,5.4278,0.0087,0.0013,0.2177,0.0608,26.8154
91,24.7269,1.8515,0.0208,5.3057,0.0053,0.0013,0.1402,0.0952,26.8347
92,24.6360,1.8060,0.0525,5.5549,0.0228,0.0032,0.1493,0.0716,26.7155
93,25.3989,1.7471,0.0240,4.9178,0.0079,0.0016,0.1618,0.0811,27.4130
94,18.0499,1.8403,8.6052,5.3612,0.0046,8.5838,2.9356,0.1060,31.5370
95,16.1140,1.8423,0.0243,7.7098,0.0052,0.0012,0.1808,0.0965,18.2581
96,16.0187,1.8066,8.4245,17.5727,0.0039,8.4020,0.3185,0.0711,26.6395
97,25.7517,2.1766,0.0239,5.4309,0.0059,0.0015,0.1640,0.0823,28.1985
98,16.3322,1.7844,10.5987,16.3147,0.0041,10.5773,0.2802,0.0950,29.0905
99,18.3339,1.7217,0.0191,8.0141,0.0044,0.0014,0.1663,0.0825,20.3236
100,24.3313,1.8487,0.0476,5.5578,0.0060,0.0024,0.2308,0.0785,26.5369
101,23.7119,1.8607,0.0353,10.9033,0.0097,0.0014,0.2771,0.0825,25.9675
102,25.2055,1.7466,0.0192,5.7085,0.0040,0.0014,0.1388,0.0895,27.1995
103,24.0300,1.6776,0.0213,17.0990,0.0043,0.0013,0.1419,0.0902,25.9610
104,25.5715,1.8224,0.0347,5.3452,0.0067,0.0012,0.1935,0.0724,27.6946
105,25.4053,1.8495,0.0281,14.3908,0.0065,0.0014,0.1850,0.0930,27.5609
106,24.7690,1.9262,1.5580,16.1465,0.0064,1.5305,0.1763,0.0993,28.5289
107,24.3290,1.7639,0.0257,11.3825,0.0050,0.0015,0.1596,0.0779,26.3561
108,25.8615,1.8422,0.0389,5.5779,0.0097,0.0022,0.2375,0.0769,28.0571
109,24.9346,1.8266,0.0254,4.8504,0.0067,0.0017,0.1755,0.0831,27.0452
110,25.7939,1.9481,0.0294,11.6126,0.0070,0.0020,0.2341,0.0907,28.0962
111,25.4209,2.0424,0.0284,5.0151,0.0059,0.0015,0.1905,0.0775,27.7597
112,13.1863,1.7790,4.3430,5.4386,0.0106,4.3071,0.2518,0.0865,19.6466
113,14.1930,1.8986,0.0338,6.4712,0.0080,0.0019,0.2727,0.0825,16.4806
114,13.3387,1.9129,2.0357,5.3034,0.0060,1.9971,0.2188,0.0841,17.5902
115,6.0851,7.2717,14.3420,5.6359,0.0060,14.3124,0.2860,0.0756,28.0605
116,15.3525,2.0655,0.0268,6.7790,0.0058,0.0017,0.1824,0.0947,17.7219
117,26.0479,1.6310,0.0225,4.8904,0.0055,0.0014,0.1410,0.0808,27.9232
118,26.7623,1.7662,0.0224,12.7408,0.0046,0.0018,0.2308,0.0779,28.8595
119,28.1003,1.9548,0.0260,5.0617,0.0065,0.0017,0.2003,0.0690,30.3505
120,27.2987,2.0169,0.0235,5.2539,0.0047,0.0014,0.1828,0.0728,29.5947
121,26.5187,1.8203,0.0295,5.0257,0.0072,0.0018,0.1945,0.0934,28.6564
122,27.0347,1.8694,0.0335,5.5438,0.0081,0.0014,0.2125,0.0843,29.2344
123,26.6928,1.8957,0.0313,12.3360,0.0082,0.0016,0.2131,0.0765,28.9094
124,27.0106,1.9185,0.0262,5.6025,0.0070,0.0017,0.1920,0.0959,29.2431
125,27.7059,2.1681,0.0239,5.2045,0.0048,0.0012,0.1526,0.0835,30.1339
126,24.3548,2.0753,1.5359,12.1018,0.0097,1.5077,0.2247,0.0761,28.2669
127,26.5840,1.8334,0.0274,5.8653,0.0055,0.0016,0.1913,0.0732,28.7093
128,27.5385,1.9138,0.0370,5.5314,0.0199,0.0012,0.1850,0.0612,29.7355
129,26.6714,1.7060,0.0243,11.9627,0.0055,0.0012,0.1827,0.0812,28.6656
130,24.1313,1.8538,2.3372,5.6263,0.0083,2.2952,0.2257,0.0682,28.6161
131,25.1978,1.8741,0.0319,6.1193,0.0073,0.0015,0.2094,0.0775,27.3908
132,26.6955,1.8580,0.0275,11.9248,0.0065,0.0018,0.1894,0.1204,28.8908
133,22.8332,6.7474,0.0708,4.7718,0.0232,0.0222,0.2604,0.0750,29.9869
134,18.0017,1.9123,10.6559,17.5164,0.0060,10.6227,0.2823,0.0738,30.9258
135,19.3033,1.7989,0.0250,8.0715,0.0057,0.0016,0.1743,0.0824,21.3840
136,27.2802,1.7695,0.0238,5.6680,0.0054,0.0013,0.1630,0.0949,29.3314
137,25.9923,1.8326,0.0924,5.6675,0.0493,0.0025,0.2307,0.0801,28.2282
138,26.1893,1.8884,0.0290,5.5607,0.0065,0.0013,0.2632,0.0952,28.4652
139,26.3851,2.0070,0.0287,4.8511,0.0069,0.0020,0.2166,0.0712,28.7086
140,25.9250,1.9005,0.0338,5.4932,0.0091,0.0016,0.2210,0.0861,28.1664
141,28.1784,1.7593,0.0275,5.2920,0.0105,0.0017,0.1762,0.0814,30.2229
142,20.7947,1.8909,12.1480,20.8382,0.0110,12.1059,0.3123,0.0719,35.2179
143,19.4320,2.4899,0.0329,8.4484,0.0092,0.0015,0.2064,0.0901,22.2513
144,24.7268,1.9003,1.9903,5.6432,0.0054,1.9460,0.1889,0.0643,28.8706
145,20.7812,9.2700,0.0503,4.9727,0.0065,0.0014,0.1928,0.0736,30.3678
146,17.9305,1.8970,10.9233,17.8490,0.0051,10.9016,0.3105,0.0707,31.1321
147,19.9292,1.9173,0.0228,9.0998,0.0065,0.0013,0.1607,0.0676,22.0976
148,27.4657,1.7467,0.0172,13.0516,0.0041,0.0015,0.1282,0.0816,29.4394
149,27.9995,1.7118,0.0184,4.9240,0.0045,0.0014,0.1313,0.0839,29.9449
150,24.0368,2.0235,1.6885,12.1694,0.0114,1.6543,0.2437,0.1019,28.0945
151,27.3194,1.9923,0.0353,5.9310,0.0083,0.0018,0.2286,0.0791,29.6547
152,27.3906,1.9889,0.0674,5.4201,0.0081,0.0016,0.1788,0.0714,29.6972
153,25.3648,1.6208,0.0175,5.2136,0.0040,0.0013,0.1495,0.0988,27.2514
154,25.5602,1.6958,0.0301,5.7013,0.0080,0.0016,0.2638,0.0851,27.6350
155,23.8465,1.7988,0.0182,5.0561,0.0045,0.0012,0.1438,0.0780,25.8853
156,23.9578,1.7967,0.0254,5.5279,0.0065,0.0017,0.1965,0.0726,26.0491
157,23.0544,2.0033,0.0254,5.2384,0.0064,0.0014,0.1854,0.0759,25.3444
158,22.2376,2.4770,0.0613,10.7530,0.0069,0.0012,0.2592,0.0706,25.1057
159,23.0752,1.6707,0.0155,4.9775,0.0036,0.0010,0.1167,0.0915,24.9695
160,23.7138,1.8013,0.0227,5.7475,0.0050,0.0016,0.1607,0.0845,25.7831
161,23.1930,1.8872,0.0285,4.9729,0.0073,0.0018,0.1911,0.0816,25.3814
162,22.9393,1.7188,0.0224,5.6836,0.0045,0.0011,0.1302,0.0923,24.9029
163,22.3096,1.9931,0.0248,5.0896,0.0054,0.0017,0.1966,0.0743,24.5983
164,23.0240,1.7430,0.0215,5.3521,0.0054,0.0014,0.1612,0.0897,25.0395
165,22.4787,1.8520,0.0237,5.2950,0.0056,0.0013,0.1683,0.0888,24.6115
166,22.5248,1.9330,0.0399,5.3369,0.0114,0.0016,0.2752,0.0938,24.8667
167,20.7849,1.8500,0.0219,5.1620,0.0057,0.0013,0.1506,0.1214,22.9288
168,21.4415,1.7404,0.0518,5.5300,0.0083,0.0017,0.2585,0.0726,23.5647
