host=Apple M1 Pro os=Version 26.5.1 (Build 25F80)
method=warm_single_forward_median gpu=f16_storage_f32_io cpu=f32_accelerate
CSV,label,batch,cpu_ms,cpu_bodies_s,gpu_encode_ms,gpu_timeline_ms,gpu_wall_ms,gpu_sync_submit_ms,gpu_wall_bodies_s,parity_max_abs
CSV,tiny,64,0.017667,3622573.158997,0.059917,0.047625,0.304833,0.197291,209951.022363,0.000002
CSV,tiny,128,0.030875,4145748.987854,0.061208,0.050958,0.321750,0.209584,397824.397824,0.000002
CSV,tiny,256,0.059917,4272577.064940,0.058333,0.040500,0.306333,0.207500,835691.877793,0.000002
CSV,tiny,512,0.083792,6110368.531602,0.059959,0.020833,0.307084,0.226292,1667296.244676,0.000003
CSV,tiny,1024,0.158541,6458897.067636,0.063166,0.024792,0.324667,0.236709,3154000.868582,0.000003
CSV,tiny,2048,0.311583,6572887.481024,0.070125,0.035083,0.320292,0.215084,6394165.324142,0.000003
CSV,tiny,4096,0.612917,6682797.181348,0.069125,0.061792,0.348250,0.217333,11761665.470208,0.000003
CSV,pleroma,307200,199.792875,1537592.369097,2.541875,6.362167,18.605291,9.701249,16511432.151209,0.000001
checksum=-0.82147837
