host=Apple M1 Pro os=Version 26.5.1 (Build 25F80)
method=warm_single_forward_median gpu=f16_storage_f32_io cpu=f32_accelerate
CSV,label,batch,cpu_ms,cpu_bodies_s,gpu_encode_ms,gpu_timeline_ms,gpu_wall_ms,gpu_sync_submit_ms,gpu_wall_bodies_s,parity_max_abs
CSV,tiny,64,0.015916,4021110.831867,0.066500,0.036292,0.315166,0.212374,203067.589778,0.000002
CSV,tiny,128,0.031583,4052813.222303,0.066875,0.037750,0.325291,0.220666,393493.825529,0.000002
CSV,tiny,256,0.058375,4385438.972163,0.061834,0.041625,0.314458,0.210999,814099.180177,0.000002
CSV,tiny,512,0.084042,6092191.999238,0.062041,0.048458,0.325292,0.214793,1573970.463461,0.000003
CSV,tiny,1024,0.158750,6450393.700787,0.078750,0.024250,0.349125,0.246125,2933046.902972,0.000003
CSV,tiny,2048,0.311000,6585209.003215,0.087958,0.055000,0.398209,0.255251,5143027.907456,0.000003
CSV,tiny,4096,0.615166,6658365.384303,0.082667,0.061625,0.379917,0.235625,10781302.231803,0.000003
CSV,pleroma,307200,206.351666,1488720.716217,2.996833,4.711708,19.390375,11.681834,15842911.753899,0.000001
checksum=-0.82147837
